trad	simp	py	eng	fra
濟	济	ji3	/used in place names associated with the Ji River 濟水|济水[Ji3 Shui3]/surname Ji//used in 濟濟|济济[ji3 ji3]/	
濟	济	ji4	/to cross a river/to aid or relieve/to be of help/	/traverser un cours d'eau/aider/secourir/
濯	濯	zhao4	/variant of 櫂|棹[zhao4]/	
濯	濯	zhuo2	/to wash/to cleanse of evil/	/laver/nu/brillant/
灌腸	灌肠	guan4 chang2	/enema/to give an enema/	/lavement/faire un lavement/
灌腸	灌肠	guan4 chang5	/sausage with a starchy filling/	
灠	灠	lan3	/variant of 漤[lan3]/	
灠	灠	lan4	/variant of 濫|滥[lan4]/	
火候	火候	huo3 hou4		/contrôle de la température/maturité/moment crucial/
火候	火候	huo3 hou5	/heat control/(fig.) mastery/(fig.) crucial moment/	
灬	灬	biao1		/(radical n°86, version simplifiée du caractère du feu lorsqu'il est placé en bas d'un caractère)/
灬	灬	huo3	"/""fire"" radical in Chinese characters (Kangxi radical 86), occurring in 熙, 然, 熊 etc/"	
炮	炮	bao1	/to sauté/to fry/to dry by heating/	/frire/faire sauter (cuisine)/sécher par la chaleur ou au feu/
炮	炮	pao2	/to prepare herbal medicine by roasting or parching (in a pan)/	/préparer des herbes médicinales en les faisant griller ou dessécher (dans une casserole)/
炮	炮	pao4	/cannon/CL:座[zuo4]/firecracker/	
為	为	wei2	/as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do/by (in the passive voice)/	
為	为	wei4	/because of/for/to/	
為例	为例	wei2 li4	"/used in the construction 以...為例|以...为例, ""to take ... as an example""/"	
為例	为例	wei4 li4		/à titre d'exemple/par exemple/
烙	烙	lao4	/to brand/to iron/to bake (in a pan)/	/repasser/cuire (des galettes)/
烙	烙	luo4	/used in 炮烙[pao2luo4]/	
無著	无着	wu1 zhuo2		/être non assuré de/manquer d'une source fiable/
無著	无着	wu2 zhuo2	/Asanga (Buddhist philosopher, c. 4th century AD)//(of income etc) to be unassured; to lack a reliable source/	/Asanga (moine bouddhiste)/
焢	焢	hong1	/angry appearance (archaic)/	/apparence énervée ((arch.))/
焢	焢	kong4	/see 焢肉[kong4 rou4]/	
煞氣	煞气	sha1 qi4	/to vent one's anger on (an innocent party)/to take it out on (sb)/	
煞氣	煞气	sha4 qi4	/baleful look/inauspicious influence/(of a tire, balloon etc) to leak air/	/regard funeste/influence malheureuse/(d'un pneu, ballon, etc.) perdre de l'air/fuite d'air/
熜	熜	cong1	/chimney (old)/	/cheminée (arch.)/
熜	熜	zong3	/torch made from hemp straw (old)/	
熨	熨	yu4	/reconciled/smooth/	
熨	熨	yun4	/an iron/to iron/	/repasser/
熰	𬉼	ou1	/severe drought/exceptionally hot weather/	
熰	𬉼	ou3	/copious smoke produced by smoldering firewood/half alight/to use the smoke of burning wormwood etc to repel insects/	
燕	燕	yan1	/Yan, a vassal state of Zhou in present-day Hebei and Liaoning/north Hebei/the four Yan kingdoms of the Sixteen Kingdoms, namely: Former Yan 前燕[Qian2 Yan1] (337-370), Later Yan 後燕|后燕[Hou4 Yan1] (384-409), Southern Yan 南燕[Nan2 Yan1] (398-410), Northern Yan 北燕[Bei3 Yan1] (409-436)/surname Yan/	/(province du Hebei)/(État pendant la période des Printemps et Automnes et celle des Royaumes Combattants)/
燕	燕	yan4	/swallow (family Hirundinidae)/old variant of 宴[yan4]/	
營生	营生	ying2 sheng1	/to earn a living/	/gagner sa vie/moyen de subsistance/
營生	营生	ying2 sheng5	/(coll.) job/work/	
爇	爇	re4	/heat/to burn/	
爇	爇	ruo4	/burn/heat/	/brulure/chaleur/bruler/
爌	爌	huang3	/old variant of 晃[huang3]/bright/	
爌	爌	kong4	/see 爌肉[kong4 rou4]/	
爌	爌	kuang3	/flame light/	/lumière d'une flamme/
爌	爌	kuang4	/old variant of 曠|旷[kuang4]/bright and spacious/	
爪哇八哥	爪哇八哥	zhao3 wa1 ba1 ge1		/Martin à ventre blanc/
爪哇八哥	爪哇八哥	zhao3 wa1 ba1 ge5	/(bird species of China) Javan myna (Acridotheres javanicus)/	
爯	爯	chen4	/old variant of 稱|称[chen4]/	
爯	爯	cheng1	/old variant of 稱|称[cheng1]/	
牁	牁	ge1		/amarrage/amarre/
牁	牁	ke1	/(used in place names)/Taiwan pr. [ge1]/	
片劑	片剂	pian1 ji4		/Comprimé/
片劑	片剂	pian4 ji4	/(pharmacology) tablet/	
牛頭㹴	牛头㹴	niu2 tou2 geng1	/bull terrier/	
牛頭㹴	牛头㹴	niu2 tou2 geng3	/variant of 牛頭梗|牛头梗[niu2 tou2 geng3]/	
牟	牟	mou2	/surname Mou//barley/to moo/to seek or obtain/old variant of 侔[mou2]/old variant of 眸[mou2]/	/mugir/
牟	牟	mu4	/see 牟平[Mu4 ping2]/	
特	特	te2		/spécial/unique/distingué/en particulier/Insolite/très/
特	特	te4	/special/unique/distinguished/especially/unusual/very/abbr. for 特克斯[te4 ke4 si1], tex/	/agent secret/très/fort/spécial/particulier/Trump/
犇	奔	ben1	/variant of 奔[ben1]/	
犇	奔	ben4	/variant of 奔[ben4]/	
犮	犮	ba2	/old variant of 拔[ba2]/	
犮	犮	quan3	/old variant of 犬[quan3]/	
狓	狓	pi1		/féroce/
狓	狓	pi2	"/used in the transcription of ""okapi"" 㺢㹢狓[huo4jia1pi2]/"	
猴兒	猴儿	hou2 er2	/little devil/	/petit monstre/
猴兒	猴儿	hou2 r5	/monkey/	
猴兒精	猴儿精	hou2 r jing1		/(dial.) astucieux/malin/
猴兒精	猴儿精	hou2 r5 jing1	/(dialect) shrewd/clever/	
猵	猵	bian1	/a kind of otter/	/(sorte de loutre)/
猵	猵	pian4	/used in 猵狙[pian4 ju1]/	
獞	獞	tong2	/name of a variety of dog/wild tribes in South China/	
獞	獞	zhuang4	/old variant of 壯|壮, Zhuang ethnic group of Guangxi/	
玢	玢	bin1	/(literary) a kind of jade/	
玢	玢	fen1	/porphyrites/	/stries du jade/roche pyrogénée/
琢	琢	zhuo2	/to cut (gems)/	/polir/tailler les pierres précieuses/
琢	琢	zuo2	/used in 琢磨[zuo2 mo5]/Taiwan pr. [zhuo2]/	
瑱	瑱	tian4	/(literary) jade pendants attached to an official hat and hanging beside each ear, symbolizing refusal to listen to malicious talk/(literary) to fill up/	/bouchon d'oreille en jade/
瑱	瑱	zhen4	/jade weight/	
瑳	瑳	cuo1	/luster of gems/	
瑳	瑳	cuo3		/éclat d'une pierre précieuse/
璚	璚	jue2	/half-circle jade ring/	
璚	璚	qiong2	/(red stone)/	/(pierre rouge)/
瓧	瓧	shi2		/décawatt/
瓧	瓧	shi2 wa3		/déciwatt (arch.)/
瓧	瓧	xx5	/decawatt (old)/pr. [shi2 wa3]/single-character equivalent of 十瓦[shi2 wa3]/	
瓸	瓸	bai3		/hectowatt/
瓸	瓸	bai3 wa3	/hectowatt (old)/single-character equivalent of 百瓦/	/hectowatt (arch.)/
瓼	瓼	li3		/centiwatt/
瓼	瓼	li3 wa3	/centiwatt (old)/	/centiwatt (arch.)/
甬	甬	tong3	/variant of 桶[tong3], bucket/(classifier) cubic dry measure (5 pecks 五斗, approx half-liter)/	
甬	甬	yong3	/Yong River 甬江[Yong3 Jiang1] in Ningbo 寧波|宁波[Ning2 bo1]/short name for Ningbo//path screened by walls on both sides/	/Ningbo/
甭	甭	beng2	/(contraction of 不用[bu4 yong4]) need not; please don't/	/ce n'est pas la peine de/il n'est pas nécessaire de/
甭	甭	beng4	/(dialect) very/	
甮	甮	beng2	/old variant of 甭[beng2]/need not/	
甮	甮	feng4	/contraction of 勿用/(dialect) need not/please don't/	
由不得	由不得	you2 bu4 de5		/ne peut pas aider/échapper au contrôle de/ne pas pouvoir s'empêcher de/
由不得	由不得	you2 bu5 de5	/cannot help/to be beyond control of/	/être hors de contrôle de/
留空	留空	liu2 kong1		/laisser des blancs en écrivant/
留空	留空	liu2 kong4	/to leave blank space in a document/to leave some time free/	/laisser un espace vide dans un document/laisser un peu de temps libre/
畫卷	画卷	hua4 juan3		/rouleau de peinture/
畫卷	画卷	hua4 juan4	/picture scroll/	
當當	当当	dang1 dang1	/Dangdang (online retailer)/	
當當	当当	dang4 dang4	/to pawn/	/mettre en gage/
當真	当真	dang1 zhen1		/prendre pour vrai/prendre au sérieux/vraiment/
當真	当真	dang4 zhen1	/to take seriously/serious/No joking, really!/	/prendre au sérieux/sérieux/ne pas du tout plaisanter/
當頭	当头	dang1 tou2	/coming right into one's face/imminent/to put first/	/imminent/mettre en premier/
當頭	当头	dang4 tou5	/(coll.) pledge; surety/	
疋	疋	pi3		/(classificateur des étoffes)/103e radical/
疋	疋	shu1	/foot/	
疋	疋	ya3	/variant of 雅[ya3]/	
疸	疸	da5	/used in 疙疸[ge1 da5]/	
疸	疸	dan3	/jaundice/	/jaunisse/
瘜	瘜	xi1	/a polypus/	
瘜	瘜	xi2		/polype/
瘧	疟	nu:e4	/malaria/	/malaria/
瘧	疟	yao4	/used in 瘧子|疟子[yao4 zi5]/	
癤	疖	jie1	/pimple/sore/boil/Taiwan pr. [jie2]/	
癤	疖	jie2		/petit abcès/pustule/bouton/
癶	癶	bo1	/Kangxi radical 105, known as 登字頭|登字头[deng1 zi4 tou2]/	/marcher les pieds en canard/
癶	癶	bo4		/tente à pointe (radical)/
發蒙	发蒙	fa1 meng1	/to be confused/to be at a loss/Taiwan pr. [fa1 meng2]/	
發蒙	发蒙	fa1 meng2	/(old) to instruct the young/to teach a child to read and write/as easy as ABC/	
白領八哥	白领八哥	bai2 ling3 ba1 ge1		/Martin à collier/
白領八哥	白领八哥	bai2 ling3 ba1 ge5	/(bird species of China) collared myna (Acridotheres albocinctus)/	
百色	百色	bai3 se4	/Baise prefecture-level city in Guangxi/former pr. [Bo2 se4]/	/Baise (Guangxi)/
百色	百色	bo4 se4	/Bose or Baise prefecture-level city in Guangxi/	
皻	皻	cu3	/chapped skin/	
皻	皻	zha1	/old variant of 齇[zha1]/rosacea/	
盡快	尽快	jin3 kuai4		/le plus vite possible/
盡快	尽快	jin4 kuai4	/see 儘快|尽快[jin3 kuai4]/	
盡數	尽数	jin4 shu3	/to count all of them/	
盡數	尽数	jin4 shu4	/in its entirety; all of it; all of them/	/tout/
盤纏	盘缠	pan2 chan2	/to twine/to coil/	/ficeler/
盤纏	盘缠	pan2 chan5	/money for a voyage; travel expenses/	
盪	荡	dang4	/variant of 蕩|荡[dang4]/	
盪	荡	tang4	/variant of 燙|烫[tang4]/variant of 趟[tang4]/	
眄	眄	mian3	/to ogle at/to squint at/	/lorgner sur/loucher/
眄	眄	mian4	/to look askance at/	
看起來	看起来	kan4 qi3 lai2		/avoir l'air/paraitre/
看起來	看起来	kan4 qi3 lai5	/seemingly; apparently; looks as if; appears to be; gives the impression that; seems on the face of it to be/	/apparemment/sembler comme si/sembler être/donner l'impression que/
睄	睄	qiao2	/to look at (old variant of 瞧[qiao2])/	
睄	睄	shao4	/(coll.) to glance/	
睥	睥	bi4		/désapprouver/
睥	睥	pi4	/used in 睥睨[pi4 ni4]/Taiwan pr. [bi4]/	
瞇	眯	mi1	/to narrow one's eyes/to squint/(dialect) to take a nap/	/cligner/
瞇	眯	mi3		/cligner les yeux/
瞤	𥆧	run2	/twitch (muscle or eyelid)/	
瞤	𥆧	shun4	/wink/twinkle/very short time/	
瞿	瞿	ju4		/surpris/
瞿	瞿	qu2	/surname Qu//startled/Taiwan pr. [ju4]/	/(nom de famille)/
矇	蒙	meng1	/to deceive/to cheat/to hoodwink/to make a wild guess/	
矇	蒙	meng2	/blind/dim-sighted/	
矯情	矫情	jiao2 qing5	/(Beijing dialect) argumentative; unreasonable/	/(dial. de Pékin) argumentatif/déraisonnable/
矯情	矫情	jiao3 qing2	/affected/unnatural/pretentious/	
矱	矱	huo4		/mesure/standard/critère/norme/
矱	矱	yue1	/standard/norm/Taiwan pr. [huo4]/	
矻	矻	ku1	/used in 矻矻[ku1 ku1]/Taiwan pr. [ku4]/	
矻	矻	ku4		/peiner/
砉	砉	hua1	/sound of a thing flying fast by/whoosh/cracking sound/Taiwan pr. [huo4]/	
砉	砉	xu1	/sound of flaying/	
硐	硐	dong4	/variant of 洞[dong4]/cave/pit/	
硐	硐	tong2	/grind/	
碌	碌	liu4	/used in 碌碡[liu4 zhou5]/Taiwan pr. [lu4]/	
碌	碌	lu4	/(bound form used in 忙碌[mang2 lu4], 勞碌|劳碌[lao2 lu4], 庸碌[yong1 lu4] etc)/	/banal/médiocre/occupé/affairé/
碡	碡	du2		/rouleau de pierre/
碡	碡	zhou2	/stone roller (for threshing grain, leveling ground etc)/Taiwan pr. [du2]/	
磅	磅	bang4	/scale (instrument for weighing)/to weigh/(loanword) pound (unit of weight, about 454 grams)/(printing) point (unit used to measure the size of type)/	/livre (unité de masse)/
磅	磅	pang2	/used in 磅礴[pang2 bo2]/Taiwan pr. [pang1]/	
磑	硙	ai2	/used in 磑磑|硙硙[ai2 ai2]/	/blanc neigeux/blanc pur/sans tache/
磑	硙	wei2	/used in 磑磑|硙硙[wei2 wei2]/	
磑	硙	wei4	/(literary) grindstone/(literary) to mill/	
磑磑	硙硙	ai2 ai2	/(literary) lofty; towering/(literary) glistening white/(literary) hard; solid/(literary) piled up/	
磑磑	硙硙	wei2 wei2	/(literary) lofty; towering/also pr. [ai2 ai2]/	
磕	磕	ke1	/to tap/to knock (against sth hard)/to knock (mud from boots, ashes from a pipe etc)/	/frapper/heurter/
磕	磕	ke4	/variant of 嗑[ke4]/	
礐	礐	hu2		/(arch.) pierre précieuse/
礐	礐	que4		/(arch.) grosse pierre/bloc de roche/dur/
礐	𬒈	hu2	/(arch.) precious stone/	
礐	𬒈	que4	/(arch.) large stone/boulder/hard/	
神曲	神曲	shen2 qu1	/medicated leaven (used in TCM to treat indigestion)/	
神曲	神曲	shen2 qu3	/The Divine Comedy by Dante Alighieri 但丁/	
禺	禺	ou3	/archaic variant of 偶[ou3]/	
禺	禺	yu2	/ancient area/	/(ancienne région)/
禺	禺	yu4	/legendary monkey of ancient China/	/(singe légendaire de la Chine ancienne)/
秘	秘	bi4	/see 秘魯|秘鲁[Bi4 lu3]/	
秘	秘	mi4	/secret/secretary/	/secret/secrétaire/
秜	秜	ni2	/self-sown rice/	
秜	秜	ni4	/early-maturing rice/	
稍	稍	shao1	/somewhat/a little/	/un peu/légèrement/
稍	稍	shao4	/see 稍息[shao4 xi1]/	
稜	棱	leng2	/arris; edge/corrugation; ridges/	/arête/bord/
稜	棱	ling2	/used in 穆稜|穆棱[Mu4 ling2]/	
空地導彈	空地导弹	kong1 di4 dao3 dan4	/air-to-surface missile/	
空地導彈	空地导弹	kong4 di4 dao3 dan4		/missile air-sol/
空頭市場	空头市场	kong1 tou2 shi4 chang2		/marché baissier/
空頭市場	空头市场	kong1 tou2 shi4 chang3	/bear market/	/marché baissier/
窣	窣	su1	/used in 窸窣[xi1 su1]/Taiwan pr. [su4]/	
窣	窣	su4		/s'enfuir d'un repaire/bruissement/
窾	窾	cuan4	/to conceal/to hide/	
窾	窾	kuan3	/crack/hollow/cavity/to excavate or hollow out/(onom.) water hitting rock/(old) variant of 款[kuan3]/	
笑話	笑话	xiao4 hua4		/blague/plaisanterie/ridiculiser/se moquer de/
笑話	笑话	xiao4 hua5	/joke; jest (CL:個|个[ge4])/to laugh at; to mock/ridiculous; absurd/	
筊	筊	jiao3	/bamboo rope/	
筊	筊	jiao4	/variant of 珓[jiao4]/	/corde de bambou/
篹	篹	suan3	/ancient bamboo basket for food/variant of 匴[suan3]/bamboo container for hats/	
篹	篹	zhuan4	/to compose/to compile/food/delicacies/	/composer/compiler/nourriture/friandises/
籠子	笼子	long2 zi5	/cage; basket; container/	/cage/
籠子	笼子	long3 zi5	/large box; trunk; chest/	
粘連	粘连	nian2 lian2	/to adhere/to stick together/	/adhérer (coller)/
粘連	粘连	zhan1 lian2	/adhesion/to adhere/to cohere/to stick/	
粥	粥	yu4	/used in 葷粥|荤粥[Xun1 yu4]/	
粥	粥	zhou1	/congee/gruel/porridge/CL:碗[wan3]/	/bouillie de riz/
粨	粨	bai3		/hectomètre/
粨	粨	bai3 mi3	/hectometer (old)/single-character equivalent of 百米[bai3 mi3]/	/hectomètre/
糊	糊	hu2	/muddled/paste/scorched/	
糊	糊	hu4	/paste/cream/	/coller/bruler en cuisant/
紊	紊	wen3	/involved/tangled/disorderly/confused/chaotic/Taiwan pr. [wen4]/	/en désordre/troublé/confus/embrouillé/
紊	紊	wen4		/désordre/
紥	扎	za1	/variant of 紮|扎[za1]/	
紥	扎	zha1	/variant of 紮|扎[zha1]/	/piquer/percer/
紫微斗數	紫微斗数	zi3 wei1 dou3 shu4	/Zi Wei Dou Shu, a form of Chinese fortune-telling/	/Zi Wei Dou Shu/bonne aventure/divination/
紫微斗數	紫微斗数	zi3 wei1 dou4 shu4		/Zi Wei Dou Shu/bonne aventure/divination/
紮	扎	za1	/to tie/to bind/classifier for flowers, banknotes etc: bundle/Taiwan pr. [zha2]/	/lier/nouer/
紮	扎	zha1	/(of troops) to be stationed (at)/Taiwan pr. [zha2]/	
累累	累累	lei2 lei2	/(literary) (of fruit, achievements etc) clusters of; piles of; heaps of/(literary) gaunt; haggard; wretched/Taiwan pr. [lei3 lei3]/	/grappes de/tas de/
累累	累累	lei3 lei3	/again and again/innumerable/repeated/riddled with/accumulated/	/encore et encore/innombrable/répété/criblé/accumulé/
累累	累累	lei4 lei4		/innombrable/en grand nombre/
結子	结子	jie1 zi3	/to bear seeds (of plant)/	/porter des graines (plante)/
結子	结子	jie2 zi5	/knot (on a rope or string)/	
絓	絓	gua4	/to hinder/to offend/to form/unique/	
絓	絓	kua1	/type of coarse silk/bag used to wrap silk before washing/	/type de soie grossière/sac utilisé pour envelopper la soie avant de la laver/
絛	绦	di2	/see 絛綸|绦纶[di2 lun2]/	
絛	绦	tao1	/braid/cord/sash/	
絻	絻	mian3	/old variant of 冕[mian3]/	
絻	絻	wen4	/(old) mourning apparel/	
綜	综	zeng4	/heddle/Taiwan pr. [zong4]/	
綜	综	zong1	/(bound form) to synthesize; to combine/Taiwan pr. [zong4]/	/résumer/synthétiser/
綠茶婊	绿茶婊	lu:3 ​cha2 biao3		/(lit.) salope de thé vert (argot Internet)/(fig.) jeune fille apparemment innocente et charmante mais en réalité dissipée et superficielle/
綠茶婊	绿茶婊	lu:4 cha2 biao3	"/""green tea bitch"", a girl who seems innocent and charming but is actually calculating and manipulative/"	/pute de thé vert (fille qui semble innocente et charmante, mais qui est réellement calculatrice et manipulatrice)/
綴	缀	chuo4	/variant of 輟|辍[chuo4]/	
綴	缀	zhui4	/to sew/to stitch together/to combine/to link/to connect/to put words together/to compose/to embellish/	/coudre/relier/joindre/orner/décorer/
綽	绰	chao1	/to grab; to snatch up/variant of 焯[chao1]/	
綽	绰	chuo4	/(bound form) ample; spacious/(literary) graceful/used in 綽號|绰号[chuo4 hao4] and 綽名|绰名[chuo4 ming2]/	/spacieux/vaste/
縕	縕	yun1		/force générative/couleur orange/
縕	縕	yun4		/chanvre/vague/mystérieux/
縡	縡	zai3		/affaire/
縡	縡	zai4	/matter; affair/	/problème/affaire/
縫針	缝针	feng2 zhen1	/a stitch/surgical stitches/	/points de suture/
縫針	缝针	feng4 zhen1	/needle/	
縹	缥	piao1	/used in 縹渺|缥渺[piao1 miao3]/Taiwan pr. [piao3]/	
縹	缥	piao3	/(literary) light blue/(literary) light blue silk fabric/	
縹緲	缥缈	piao1 miao3	/variant of 飄渺|飘渺[piao1 miao3]/	
縹緲	缥缈	piao3 miao3		/lointain et indistinct/
繆	缪	liao3	/old variant of 繚|缭[liao3]/	
繆	缪	miao4	/surname Miao//mu (Greek letter Μμ)/	/(nom de famille)/
繆	缪	miu4	/error; erroneous (variant of 謬|谬[miu4])/	/erreur/erroné/
繆	缪	mou2	/to wind round/	/s'enrouler/
繆	缪	mu4	/old variant of 穆[mu4]/	
繆斯	缪斯	miu4 si1	/Muse (Greek mythology)/	/Muse (Mythologie grecque)/
繆斯	缪斯	mu4 si1		/Muse/
繇	繇	yao2	/folk-song/forced labor/	/suivre/florissant/
繇	繇	you2	/cause/means/	/cause/comme/encore/
繇	繇	zhou4	/interpretations of the trigrams/	
繒	缯	zeng1	/surname Zeng//silk fabrics/	
繒	缯	zeng4	/to tie/to bind/	
繫囚	系囚	ji4 qiu2		/être emprisonné/
繫囚	系囚	xi4 qiu2	/prisoner/	
繰	缲	qiao1	/hem with invisible stitches/	
繰	缲	sao1	/to reel silk from cocoons/	
纚	纚	li2	/(literary) to bind/to fasten/rope/	
纚	纚	xi3	/silk headband/Taiwan pr. [shi3]/	
羅	罗	luo1		/(phonétique)/
羅	罗	luo2	/surname Luo//gauze/to collect/to gather/to catch/to sift/	/filet pour prendre les oiseaux/tamis/gaze de soie/mousseline de soie/prendre au filet/tamiser/exposer/étaler/arranger/réunir/rassembler/collectionner/douzaine/douze/
美耐皿	美耐皿	mai3 nai4 min3		/mélamine (Tw)/
美耐皿	美耐皿	mei3 nai4 min3	/(Tw) (loanword) melamine/	
翕	翕	xi1	/to open and close (the mouth etc)/friendly/compliant/Taiwan pr. [xi4]/	
翕	翕	xi4		/unir/
老土	老土	lao2 tu5		/démodé/ringard/désuet/
老土	老土	lao3 tu3	/old-fashioned; unstylish/	
老家伙	老家伙	lao3 jia1 huo3		/vieux débris/vieux croulant/vieux gâteux/
老家伙	老家伙	lao3 jia1 huo5	/(coll.) old fellow/old codger/	
耳朵軟	耳朵软	er3 duo1 ruan3		/crédule/
耳朵軟	耳朵软	er3 duo5 ruan3	/credulous/	/crédule/
聲優	声优	sheng1 you1	"/voice actor (orthographic borrowing from Japanese 声優 ""seiyū"")/"	/doubleur de voix/
聲優	声优	sheng1 you4		/Seiyu/
聽	听	ting1	"/to listen to; to hear/to heed; to obey/a can (loanword from English ""tin"")/classifier for canned beverages/to let be; to allow (Taiwan pr. [ting4])/(literary) to administer; to deal with (Taiwan pr. [ting4])/"	/écouter/suivre/obéir à/
聽	听	ting4		/permettre/laisser la liberté de/suivre/se conformer à/
肸	肸	xi1	/used in 肸肸[xi1xi1]/used in 肸蠁|肸蚃[xi1xiang3]/Taiwan pr. [xi4]/	
肸	肸	xi4		/glousser/se disperser/
背帶褲	背带裤	bei1 dai4 ku4	/overalls/dungarees/	
背帶褲	背带裤	bei4 dai4 ku4		/salopette/
背著	背着	bei1 zhe5	/carrying on one's back/	/porter sur son dos/
背著	背着	bei4 zhe5	/turning one's back to (sth or sb)/keeping sth secret from (sb)/keeping (one's hands) behind one's back/	
胖	胖	pan2	/healthy/at ease/	
胖	胖	pang4	/fat/plump/	/gros/gras/opulent/
脈	脉	mai4	/arteries and veins/vein (on a leaf, insect wing etc)/	
脈	脉	mo4	/see 脈脈|脉脉[mo4 mo4]/	/(affectueusement)/
脊柱側彎	脊椎侧弯	ji3 zhu4 ce4 wan1		/scoliose/
脊柱側彎	脊椎侧弯	ji3 zhui1 ce4 wan1		/scoliose/
脊梁	脊梁	ji3 liang2	/backbone/spine/Taiwan pr. [ji3 liang5]/	
脊梁	脊梁	ji3 liang5	/(coll.) back (of a human or other vertebrate)/	/échine/dos/colonne vertébrale/
脘	脘	guan3		/oesophage/
脘	脘	wan3	/internal cavity of stomach/	
腦袋	脑袋	nao3 dai4		/crâne/cerveau/capacité mentale/(tête)/
腦袋	脑袋	nao3 dai5	/head/skull/brains/mental capability/CL:顆|颗[ke1],個|个[ge4]/	
膀	膀	bang3	/upper arm/wing/	
膀	膀	bang4	/used in 吊膀子[diao4 bang4 zi5]/	/flirter/
膀	膀	pang1	/puffed (swollen)/	/enflé/enfler/
膀	膀	pang2	/bladder/	/vessie/
膈	膈	ge2	/diaphragm (anatomy)/	/diaphragme/incapable d'avaler/
膈	膈	ge4	/(only used in 膈應|膈应[ge4 ying5])/	
膔	膔	biao1	/variant of 膘[biao1]/	
膔	膔	lu4	/sound of belly rumbling/borborygmus/	
臀溝	臀沟	tun2 gou1	/gluteal fold/	
臀溝	臀沟	tun2 gou4		/pli fessier/raie des fesses/
臧	臧	zang1	/surname Zang//good/right/	/bon/
臧	臧	zang4	/old variant of 藏[zang4]/old variant of 臟|脏[zang4]/	
與時俱進	与时俱进	yu3 shi2 ju1 jin4		/(expr. idiom.) être de son temps/à côté des développements modernes/continuer dans le temps/progressif/dans les délais/
與時俱進	与时俱进	yu3 shi2 ju4 jin4	/abreast of modern developments/to keep up with the times/progressive/timely/	/au fait des développements modernes/rester dans l'air du temps/en temps opportun/
興許	兴许	xing1 xu3	/(coll.) perhaps/	/peut-être/
興許	兴许	xing4 xu3		/peut-être/
舌	舌	ji1	"/used in 喇舌[la3 ji1] to transcribe the Taiwanese word for ""tongue""/"	
舌	舌	she2	/tongue/	/langue/battant de cloche/ardillon/(135e radical)/
舍	舍	she3	/old variant of 捨|舍[she3]/	
舍	舍	she4	/surname She//residence/	/demeure/maison/
般	般	ban1	/sort/kind/class/way/manner/	/sorte/genre/manière/
般	般	pan2	/see 般樂|般乐[pan2 le4]/	
艘	艘	sao1		/(classificateur pour des vaisseaux de guerre (Tw))/
艘	艘	sou1	/classifier for ships/Taiwan pr. [sao1]/	/(classificateur pour des vaisseaux de guerre)/
艮	艮	gen3	/blunt/tough/chewy/	
艮	艮	gen4	/one of the Eight Trigrams 八卦[ba1 gua4], symbolizing mountain/☶/ancient Chinese compass point: 45° (northeast)/	/opiniâtre/dur/(183e radical)/(un des huit trigrammes)/
芍	芍	que4	/see 芍陂[Que4 pi2]/	
芍	芍	shao2	/Chinese peony/Paeonia albiflora or lactiflora/	/Pivoine chinoise/paeonia albiflora ou lactiflora/
芣	芣	fou2		/Plantago/plantain/
芣	芣	fu2	/plantain herb (Plantago)/Taiwan pr. [fou2]/	
芫	芫	yan2	/used in 芫荽[yan2 sui5]/	
芫	芫	yuan2	/lilac daphne (Daphne genkwa), used in Chinese herbal medicine/	/daphné/
芯	芯	xin1	/(bound form) the pith of the rush plant (used as a lampwick)/	
芯	芯	xin4	/used in 芯子[xin4 zi5]/Taiwan pr. [xin1]/	/essence/intérieur (plante)/moelle/
花頭	花头	hua1 tou2		/corolle/
花頭	花头	hua1 tou5	/trick/pattern/novel idea/knack/	
芴	芴	hu1	/(old) vaguely/suddenly/	
芴	芴	wu4	/fluorene C13H10/(old) name of an edible wild plant/	/fluorène/
芸	芸	yi4	/Japanese variant of 藝|艺[yi4]/	
芸	芸	yun2	/common rue (Ruta graveolens)/(used in old compounds relating to books because in former times rue was used to protect books from insect damage)/	
苕	苕	shao2	/see 紅苕|红苕[hong2 shao2]/	
苕	苕	tiao2	/reed grass/Chinese trumpet vine (Campsis grandiflora) (old)/	/calamagrostide/
苣	苣	ju4	/lettuce, see 萵苣|莴苣/	/laitue/
苣	苣	qu3	/bound form used only in 苣蕒菜|苣荬菜[qu3 mai3 cai4]/Taiwan pr. [ju4]/	
苣蕒菜	苣荬菜	ju4 mai3 cai4		/Sonchus arvensis/
苣蕒菜	苣荬菜	qu3 mai3 cai4	/endive/field sow-thistle/Sonchus brachyotus/	
英石	英石	ying1 dan4	/stone (British unit of mass equal to 14 pounds (about 6.3 kilograms))/	
英石	英石	ying1 shi2	/ornamental limestone rock (供石[gong1 shi2]) from Yingde 英德[Ying1 de2], Guangdong/	
茄	茄	jia1	"/phonetic character used in loanwords for the sound ""jia"", although 夾|夹[jia2] is more common/"	
茄	茄	qie2	/eggplant/	/aubergine/
茆	茆	mao2	/variant of 茅[mao2]/thatch/	
茆	茆	mao3	/type of water plant/(dialect) loess hills/	/type de plantes d'eau/(dial.) colline de loess/
茈	茈	ci2		/châtaigne d'eau/
茈	茈	zi3	/Common Gromwell or European stoneseed (Lithospermum officinale)/	/châtaigne d'eau/
茍	茍	gou3		/si en effet/irréfléchi/(nom de famille)/
